instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
6401,25,ADANIENT,ADANI ENTERPRISES,0,,0.0,0.1,1,EQ,NSE,NSE
3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0.0,0.1,1,EQ,NSE,NSE
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,,0.0,0.5,1,EQ,NSE,NSE
60417,236,ASIANPAINT,ASIAN PAINTS,0,,0.0,0.1,1,EQ,NSE,NSE
1510401,5900,AXISBANK,AXIS BANK,0,,0.0,0.1,1,EQ,NSE,NSE
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0.0,0.5,1,EQ,NSE,NSE
4268801,16675,BAJAJFINSV,BAJAJ FINSERV,0,,0.0,0.1,1,EQ,NSE,NSE
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0.0,0.5,1,EQ,NSE,NSE
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0.0,0.1,1,EQ,NSE,NSE
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0,,0.0,0.05,1,EQ,NSE,NSE
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0,,0.0,0.5,1,EQ,NSE,NSE
177665,694,CIPLA,CIPLA,0,,0.0,0.1,1,EQ,NSE,NSE
5215745,20374,COALINDIA,COAL INDIA,0,,0.0,0.05,1,EQ,NSE,NSE
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0.0,0.5,1,EQ,NSE,NSE
225537,881,DRREDDY,DR. REDDY S LABORATORIES,0,,0.0,0.1,1,EQ,NSE,NSE
232961,910,EICHERMOT,EICHER MOTORS,0,,0.0,0.5,1,EQ,NSE,NSE
315393,1232,GRASIM,GRASIM INDUSTRIES,0,,0.0,0.1,1,EQ,NSE,NSE
1850625,7229,HCLTECH,HCL TECHNOLOGIES,0,,0.0,0.1,1,EQ,NSE,NSE
341249,1333,HDFCBANK,HDFC BANK,0,,0.0,0.1,1,EQ,NSE,NSE
119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0.0,0.05,1,EQ,NSE,NSE
345089,1348,HEROMOTOCO,HERO MOTOCORP,0,,0.0,0.1,1,EQ,NSE,NSE
348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,0,,0.0,0.05,1,EQ,NSE,NSE
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER,0,,0.0,0.1,1,EQ,NSE,NSE
1270529,4963,ICICIBANK,ICICI BANK,0,,0.0,0.1,1,EQ,NSE,NSE
1346049,5258,INDUSINDBK,INDUSIND BANK,0,,0.0,0.05,1,EQ,NSE,NSE
408065,1594,INFY,INFOSYS,0,,0.0,0.1,1,EQ,NSE,NSE
424961,1660,ITC,ITC,0,,0.0,0.05,1,EQ,NSE,NSE
3001089,11723,JSWSTEEL,JSW STEEL,0,,0.0,0.1,1,EQ,NSE,NSE
492033,1922,KOTAKBANK,KOTAK MAHINDRA BANK,0,,0.0,0.1,1,EQ,NSE,NSE
2939649,11483,LT,LARSEN & TOUBRO,0,,0.0,0.1,1,EQ,NSE,NSE
519937,2031,M&M,MAHINDRA & MAHINDRA,0,,0.0,0.1,1,EQ,NSE,NSE
2815745,10999,MARUTI,MARUTI SUZUKI INDIA,0,,0.0,1.0,1,EQ,NSE,NSE
4598529,17963,NESTLEIND,NESTLE INDIA,0,,0.0,0.1,1,EQ,NSE,NSE
2977281,11630,NTPC,NTPC,0,,0.0,0.05,1,EQ,NSE,NSE
633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0.0,0.01,1,EQ,NSE,NSE
3834113,14977,POWERGRID,POWER GRID CORP.,0,,0.0,0.05,1,EQ,NSE,NSE
738561,2885,RELIANCE,RELIANCE INDUSTRIES,0,,0.0,0.1,1,EQ,NSE,NSE
5582849,21808,SBILIFE,SBI LIFE INSURANCE CO,0,,0.0,0.1,1,EQ,NSE,NSE
779521,3045,SBIN,STATE BANK OF INDIA,0,,0.0,0.05,1,EQ,NSE,NSE
857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0,,0.0,0.1,1,EQ,NSE,NSE
878593,3432,TATACONSUM,TATA CONSUMER PRODUCT,0,,0.0,0.1,1,EQ,NSE,NSE
884737,3456,TATAMOTORS,TATA MOTORS,0,,0.0,0.05,1,EQ,NSE,NSE
895745,3499,TATASTEEL,TATA STEEL,0,,0.0,0.01,1,EQ,NSE,NSE
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0.0,0.1,1,EQ,NSE,NSE
3465729,13538,TECHM,TECH MAHINDRA,0,,0.0,0.1,1,EQ,NSE,NSE
897537,3506,TITAN,TITAN COMPANY,0,,0.0,0.1,1,EQ,NSE,NSE
2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,0,,0.0,1.0,1,EQ,NSE,NSE
2889473,11287,UPL,UPL,0,,0.0,0.05,1,EQ,NSE,NSE
969473,3787,WIPRO,WIPRO,0,,0.0,0.01,1,EQ,NSE,NSE
